Year,Intensity
1911,1
1912,1
1913,1
1914,1
1915,1.114836328
1916,1.287090821
1917,1.229672657
1918,2.5
1919,2.5
1920,1.861272463
1921,1.344508985
1922,2.033526956
1923,1.689017971
1924,1
1925,1.40192715
1926,1.631599807
1927,1.229672657
1928,2.09094512
1929,2.148363285
1930,1.344508985
1931,1.689017971
1932,1.746436135
1933,1.689017971
1934,1.114836328
1935,1.229672657
1936,1.40192715
1937,1.631599807
1938,1.172254493
1939,1.287090821
1940,1.172254493
1941,1
1942,1
1943,0.942581836
1944,2.49287227
1945,1
1946,1
1947,1.344508985
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,2.033526956
1958,1.516763478
1959,1
1960,1.861272463
1961,1
1962,1
1963,1.746436135
1964,1
1965,1.574181642
1966,1.057418164
1967,1
1968,1.229672657
1969,1.746436135
1970,1.344508985
1971,1.172254493
1972,1.631599807
1973,1.574181642
1974,1.229672657
1975,1.574181642
1976,1.861272463
1977,0.270999966
1978,2.151385476
1979,1.697585139
1980,0.04559225
1981,1.589122399
1982,0.163824932
1983,1.366256012
1984,1.094829971
1985,1.915226038
1986,0.392152078
1987,1.376079665
1988,0.978463121
1989,1.126579655
1990,1.393200517
1991,0.165327494
1992,1.766946108
1993,0.387883524
1994,1.283038955
1995,0.782989541
1996,1.088848803
1997,0.500137456
1998,0.066373283
1999,0.564977308
2000,0.829840423
2001,0.492142063
2002,1.8006752
2003,0.572449234
2004,1.095309089
2005,1.055139605
2006,0.809481238
2007,1.415467676
2008,0.952502295
2009,2.5
2010,0.831905609
2011,0.710620509
2012,0.836061921
2013,0.613136939
2014,0.904175002
2015,0.811812163
